"block","item_no","stim1","stim1_consonant","stim1_vowel","stim1_tone","stim2","stim2_consonant","stim2_vowel","stim2_tone","ANSWER","stim1_syllable","stim2_syllable","consonant","vowel","tone","syllable","tone_pairs","consonant_pairs","vowel_pairs","syllable_pairs"
"orthogonal","1","thia4","th","ia","t4","wua5","w","ua","t5","diff","thia","wua","th_w","ia_ua","t4t5","thia_wua","t4t5","th_w","ia_ua","thia_wua"
"orthogonal","2","khw3","kh","w","t3","wua3","w","ua","t3","same","khw","wua","kh_w","w_ua","t3t3","khw_wua","t3t3","kh_w","ua_w","khw_wua"
"orthogonal","4","wua3","w","ua","t3","khw3","kh","w","t3","same","wua","khw","w_kh","ua_w","t3t3","wua_khw","t3t3","kh_w","ua_w","khw_wua"
"orthogonal","5","khw1","kh","w","t1","thia5","th","ia","t5","diff","khw","thia","kh_th","w_ia","t1t5","khw_thia","t1t5","kh_th","ia_w","khw_thia"
"orthogonal","6","khw2","kh","w","t2","wua2","w","ua","t2","same","khw","wua","kh_w","w_ua","t2t2","khw_wua","t2t2","kh_w","ua_w","khw_wua"
"orthogonal","7","khw4","kh","w","t4","wua3","w","ua","t3","diff","khw","wua","kh_w","w_ua","t4t3","khw_wua","t3t4","kh_w","ua_w","khw_wua"
"orthogonal","8","wua1","w","ua","t1","thia3","th","ia","t3","diff","wua","thia","w_th","ua_ia","t1t3","wua_thia","t1t3","th_w","ia_ua","thia_wua"
"orthogonal","9","tco2","tc","o","t2","wua5","w","ua","t5","diff","tco","wua","tc_w","o_ua","t2t5","tco_wua","t2t5","tc_w","o_ua","tco_wua"
"orthogonal","10","wua3","w","ua","t3","thia3","th","ia","t3","same","wua","thia","w_th","ua_ia","t3t3","wua_thia","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","11","wua5","w","ua","t5","tco1","tc","o","t1","diff","wua","tco","w_tc","ua_o","t5t1","wua_tco","t1t5","tc_w","o_ua","tco_wua"
"orthogonal","12","tco4","tc","o","t4","khw2","kh","w","t2","diff","tco","khw","tc_kh","o_w","t4t2","tco_khw","t2t4","kh_tc","o_w","khw_tco"
"orthogonal","13","wua2","w","ua","t2","khw4","kh","w","t4","diff","wua","khw","w_kh","ua_w","t2t4","wua_khw","t2t4","kh_w","ua_w","khw_wua"
"orthogonal","14","tco3","tc","o","t3","wua3","w","ua","t3","same","tco","wua","tc_w","o_ua","t3t3","tco_wua","t3t3","tc_w","o_ua","tco_wua"
"orthogonal","15","tco4","tc","o","t4","wua4","w","ua","t4","same","tco","wua","tc_w","o_ua","t4t4","tco_wua","t4t4","tc_w","o_ua","tco_wua"
"orthogonal","16","khw1","kh","w","t1","thia5","th","ia","t5","diff","khw","thia","kh_th","w_ia","t1t5","khw_thia","t1t5","kh_th","ia_w","khw_thia"
"orthogonal","17","thia4","th","ia","t4","tco4","tc","o","t4","same","thia","tco","th_tc","ia_o","t4t4","thia_tco","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","18","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","19","tco2","tc","o","t2","wua1","w","ua","t1","diff","tco","wua","tc_w","o_ua","t2t1","tco_wua","t1t2","tc_w","o_ua","tco_wua"
"orthogonal","20","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","21","thia4","th","ia","t4","khw4","kh","w","t4","same","thia","khw","th_kh","ia_w","t4t4","thia_khw","t4t4","kh_th","ia_w","khw_thia"
"orthogonal","22","thia3","th","ia","t3","tco2","tc","o","t2","diff","thia","tco","th_tc","ia_o","t3t2","thia_tco","t2t3","tc_th","ia_o","tco_thia"
"orthogonal","23","thia4","th","ia","t4","khw4","kh","w","t4","same","thia","khw","th_kh","ia_w","t4t4","thia_khw","t4t4","kh_th","ia_w","khw_thia"
"orthogonal","24","thia1","th","ia","t1","wua1","w","ua","t1","same","thia","wua","th_w","ia_ua","t1t1","thia_wua","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","25","wua5","w","ua","t5","tco5","tc","o","t5","same","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","26","tco5","tc","o","t5","khw5","kh","w","t5","same","tco","khw","tc_kh","o_w","t5t5","tco_khw","t5t5","kh_tc","o_w","khw_tco"
"orthogonal","27","wua4","w","ua","t4","thia4","th","ia","t4","same","wua","thia","w_th","ua_ia","t4t4","wua_thia","t4t4","th_w","ia_ua","thia_wua"
"orthogonal","28","tco5","tc","o","t5","wua5","w","ua","t5","same","tco","wua","tc_w","o_ua","t5t5","tco_wua","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","29","tco4","tc","o","t4","thia4","th","ia","t4","same","tco","thia","tc_th","o_ia","t4t4","tco_thia","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","30","wua2","w","ua","t2","khw1","kh","w","t1","diff","wua","khw","w_kh","ua_w","t2t1","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","31","thia2","th","ia","t2","tco5","tc","o","t5","diff","thia","tco","th_tc","ia_o","t2t5","thia_tco","t2t5","tc_th","ia_o","tco_thia"
"orthogonal","32","tco5","tc","o","t5","khw2","kh","w","t2","diff","tco","khw","tc_kh","o_w","t5t2","tco_khw","t2t5","kh_tc","o_w","khw_tco"
"orthogonal","33","wua2","w","ua","t2","thia3","th","ia","t3","diff","wua","thia","w_th","ua_ia","t2t3","wua_thia","t2t3","th_w","ia_ua","thia_wua"
"orthogonal","34","wua5","w","ua","t5","tco5","tc","o","t5","same","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","35","wua4","w","ua","t4","tco3","tc","o","t3","diff","wua","tco","w_tc","ua_o","t4t3","wua_tco","t3t4","tc_w","o_ua","tco_wua"
"orthogonal","36","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","37","khw4","kh","w","t4","wua4","w","ua","t4","same","khw","wua","kh_w","w_ua","t4t4","khw_wua","t4t4","kh_w","ua_w","khw_wua"
"orthogonal","38","khw3","kh","w","t3","thia1","th","ia","t1","diff","khw","thia","kh_th","w_ia","t3t1","khw_thia","t1t3","kh_th","ia_w","khw_thia"
"orthogonal","39","wua4","w","ua","t4","thia4","th","ia","t4","same","wua","thia","w_th","ua_ia","t4t4","wua_thia","t4t4","th_w","ia_ua","thia_wua"
"orthogonal","40","khw5","kh","w","t5","thia3","th","ia","t3","diff","khw","thia","kh_th","w_ia","t5t3","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","41","thia1","th","ia","t1","wua1","w","ua","t1","same","thia","wua","th_w","ia_ua","t1t1","thia_wua","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","42","khw1","kh","w","t1","tco3","tc","o","t3","diff","khw","tco","kh_tc","w_o","t1t3","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","43","thia5","th","ia","t5","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t5t2","thia_khw","t2t5","kh_th","ia_w","khw_thia"
"orthogonal","44","wua4","w","ua","t4","tco4","tc","o","t4","same","wua","tco","w_tc","ua_o","t4t4","wua_tco","t4t4","tc_w","o_ua","tco_wua"
"orthogonal","45","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","46","tco3","tc","o","t3","thia4","th","ia","t4","diff","tco","thia","tc_th","o_ia","t3t4","tco_thia","t3t4","tc_th","ia_o","tco_thia"
"orthogonal","47","tco3","tc","o","t3","khw4","kh","w","t4","diff","tco","khw","tc_kh","o_w","t3t4","tco_khw","t3t4","kh_tc","o_w","khw_tco"
"orthogonal","48","thia2","th","ia","t2","wua3","w","ua","t3","diff","thia","wua","th_w","ia_ua","t2t3","thia_wua","t2t3","th_w","ia_ua","thia_wua"
"orthogonal","49","tco4","tc","o","t4","khw2","kh","w","t2","diff","tco","khw","tc_kh","o_w","t4t2","tco_khw","t2t4","kh_tc","o_w","khw_tco"
"orthogonal","50","wua2","w","ua","t2","thia3","th","ia","t3","diff","wua","thia","w_th","ua_ia","t2t3","wua_thia","t2t3","th_w","ia_ua","thia_wua"
"orthogonal","51","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","52","khw4","kh","w","t4","wua4","w","ua","t4","same","khw","wua","kh_w","w_ua","t4t4","khw_wua","t4t4","kh_w","ua_w","khw_wua"
"orthogonal","53","wua3","w","ua","t3","khw5","kh","w","t5","diff","wua","khw","w_kh","ua_w","t3t5","wua_khw","t3t5","kh_w","ua_w","khw_wua"
"orthogonal","54","wua4","w","ua","t4","tco5","tc","o","t5","diff","wua","tco","w_tc","ua_o","t4t5","wua_tco","t4t5","tc_w","o_ua","tco_wua"
"orthogonal","55","tco1","tc","o","t1","thia4","th","ia","t4","diff","tco","thia","tc_th","o_ia","t1t4","tco_thia","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","56","thia4","th","ia","t4","tco1","tc","o","t1","diff","thia","tco","th_tc","ia_o","t4t1","thia_tco","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","57","khw4","kh","w","t4","tco4","tc","o","t4","same","khw","tco","kh_tc","w_o","t4t4","khw_tco","t4t4","kh_tc","o_w","khw_tco"
"orthogonal","58","thia2","th","ia","t2","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t2t4","thia_khw","t2t4","kh_th","ia_w","khw_thia"
"orthogonal","59","khw5","kh","w","t5","thia3","th","ia","t3","diff","khw","thia","kh_th","w_ia","t5t3","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","60","khw5","kh","w","t5","wua4","w","ua","t4","diff","khw","wua","kh_w","w_ua","t5t4","khw_wua","t4t5","kh_w","ua_w","khw_wua"
"orthogonal","61","wua4","w","ua","t4","khw1","kh","w","t1","diff","wua","khw","w_kh","ua_w","t4t1","wua_khw","t1t4","kh_w","ua_w","khw_wua"
"orthogonal","62","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","63","khw5","kh","w","t5","tco5","tc","o","t5","same","khw","tco","kh_tc","w_o","t5t5","khw_tco","t5t5","kh_tc","o_w","khw_tco"
"orthogonal","64","tco4","tc","o","t4","wua4","w","ua","t4","same","tco","wua","tc_w","o_ua","t4t4","tco_wua","t4t4","tc_w","o_ua","tco_wua"
"orthogonal","65","thia1","th","ia","t1","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t1t4","thia_khw","t1t4","kh_th","ia_w","khw_thia"
"orthogonal","66","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","67","wua2","w","ua","t2","khw1","kh","w","t1","diff","wua","khw","w_kh","ua_w","t2t1","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","68","thia5","th","ia","t5","wua5","w","ua","t5","same","thia","wua","th_w","ia_ua","t5t5","thia_wua","t5t5","th_w","ia_ua","thia_wua"
"orthogonal","69","wua5","w","ua","t5","thia1","th","ia","t1","diff","wua","thia","w_th","ua_ia","t5t1","wua_thia","t1t5","th_w","ia_ua","thia_wua"
"orthogonal","70","thia2","th","ia","t2","tco5","tc","o","t5","diff","thia","tco","th_tc","ia_o","t2t5","thia_tco","t2t5","tc_th","ia_o","tco_thia"
"orthogonal","71","tco4","tc","o","t4","thia2","th","ia","t2","diff","tco","thia","tc_th","o_ia","t4t2","tco_thia","t2t4","tc_th","ia_o","tco_thia"
"orthogonal","72","thia4","th","ia","t4","wua5","w","ua","t5","diff","thia","wua","th_w","ia_ua","t4t5","thia_wua","t4t5","th_w","ia_ua","thia_wua"
"orthogonal","73","khw3","kh","w","t3","thia5","th","ia","t5","diff","khw","thia","kh_th","w_ia","t3t5","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","74","tco3","tc","o","t3","thia3","th","ia","t3","same","tco","thia","tc_th","o_ia","t3t3","tco_thia","t3t3","tc_th","ia_o","tco_thia"
"orthogonal","75","wua3","w","ua","t3","khw3","kh","w","t3","same","wua","khw","w_kh","ua_w","t3t3","wua_khw","t3t3","kh_w","ua_w","khw_wua"
"orthogonal","76","wua5","w","ua","t5","tco5","tc","o","t5","same","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","77","khw1","kh","w","t1","wua2","w","ua","t2","diff","khw","wua","kh_w","w_ua","t1t2","khw_wua","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","78","wua1","w","ua","t1","thia3","th","ia","t3","diff","wua","thia","w_th","ua_ia","t1t3","wua_thia","t1t3","th_w","ia_ua","thia_wua"
"orthogonal","79","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","81","wua2","w","ua","t2","tco2","tc","o","t2","same","wua","tco","w_tc","ua_o","t2t2","wua_tco","t2t2","tc_w","o_ua","tco_wua"
"orthogonal","82","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","83","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","84","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","85","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","86","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","87","wua4","w","ua","t4","tco5","tc","o","t5","diff","wua","tco","w_tc","ua_o","t4t5","wua_tco","t4t5","tc_w","o_ua","tco_wua"
"orthogonal","88","wua3","w","ua","t3","khw5","kh","w","t5","diff","wua","khw","w_kh","ua_w","t3t5","wua_khw","t3t5","kh_w","ua_w","khw_wua"
"orthogonal","89","wua4","w","ua","t4","tco3","tc","o","t3","diff","wua","tco","w_tc","ua_o","t4t3","wua_tco","t3t4","tc_w","o_ua","tco_wua"
"orthogonal","90","wua5","w","ua","t5","thia1","th","ia","t1","diff","wua","thia","w_th","ua_ia","t5t1","wua_thia","t1t5","th_w","ia_ua","thia_wua"
"orthogonal","91","khw5","kh","w","t5","wua4","w","ua","t4","diff","khw","wua","kh_w","w_ua","t5t4","khw_wua","t4t5","kh_w","ua_w","khw_wua"
"orthogonal","92","thia5","th","ia","t5","tco4","tc","o","t4","diff","thia","tco","th_tc","ia_o","t5t4","thia_tco","t4t5","tc_th","ia_o","tco_thia"
"orthogonal","93","tco4","tc","o","t4","thia4","th","ia","t4","same","tco","thia","tc_th","o_ia","t4t4","tco_thia","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","94","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","95","thia2","th","ia","t2","tco2","tc","o","t2","same","thia","tco","th_tc","ia_o","t2t2","thia_tco","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","96","tco5","tc","o","t5","khw2","kh","w","t2","diff","tco","khw","tc_kh","o_w","t5t2","tco_khw","t2t5","kh_tc","o_w","khw_tco"
"orthogonal","97","khw3","kh","w","t3","thia1","th","ia","t1","diff","khw","thia","kh_th","w_ia","t3t1","khw_thia","t1t3","kh_th","ia_w","khw_thia"
"orthogonal","98","wua1","w","ua","t1","khw2","kh","w","t2","diff","wua","khw","w_kh","ua_w","t1t2","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","99","tco2","tc","o","t2","wua1","w","ua","t1","diff","tco","wua","tc_w","o_ua","t2t1","tco_wua","t1t2","tc_w","o_ua","tco_wua"
"orthogonal","100","thia3","th","ia","t3","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t3t2","thia_khw","t2t3","kh_th","ia_w","khw_thia"
"orthogonal","101","thia3","th","ia","t3","wua3","w","ua","t3","same","thia","wua","th_w","ia_ua","t3t3","thia_wua","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","102","thia1","th","ia","t1","tco1","tc","o","t1","same","thia","tco","th_tc","ia_o","t1t1","thia_tco","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","103","khw3","kh","w","t3","tco1","tc","o","t1","diff","khw","tco","kh_tc","w_o","t3t1","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","104","wua2","w","ua","t2","tco2","tc","o","t2","same","wua","tco","w_tc","ua_o","t2t2","wua_tco","t2t2","tc_w","o_ua","tco_wua"
"orthogonal","105","khw3","kh","w","t3","wua3","w","ua","t3","same","khw","wua","kh_w","w_ua","t3t3","khw_wua","t3t3","kh_w","ua_w","khw_wua"
"orthogonal","106","tco4","tc","o","t4","thia2","th","ia","t2","diff","tco","thia","tc_th","o_ia","t4t2","tco_thia","t2t4","tc_th","ia_o","tco_thia"
"orthogonal","107","thia3","th","ia","t3","wua3","w","ua","t3","same","thia","wua","th_w","ia_ua","t3t3","thia_wua","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","108","wua5","w","ua","t5","tco1","tc","o","t1","diff","wua","tco","w_tc","ua_o","t5t1","wua_tco","t1t5","tc_w","o_ua","tco_wua"
"orthogonal","109","thia1","th","ia","t1","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t1t4","thia_khw","t1t4","kh_th","ia_w","khw_thia"
"orthogonal","110","tco1","tc","o","t1","khw5","kh","w","t5","diff","tco","khw","tc_kh","o_w","t1t5","tco_khw","t1t5","kh_tc","o_w","khw_tco"
"orthogonal","111","khw4","kh","w","t4","tco4","tc","o","t4","same","khw","tco","kh_tc","w_o","t4t4","khw_tco","t4t4","kh_tc","o_w","khw_tco"
"orthogonal","112","thia4","th","ia","t4","tco4","tc","o","t4","same","thia","tco","th_tc","ia_o","t4t4","thia_tco","t4t4","tc_th","ia_o","tco_thia"
"orthogonal","113","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","114","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","115","thia5","th","ia","t5","khw5","kh","w","t5","same","thia","khw","th_kh","ia_w","t5t5","thia_khw","t5t5","kh_th","ia_w","khw_thia"
"orthogonal","116","thia3","th","ia","t3","tco2","tc","o","t2","diff","thia","tco","th_tc","ia_o","t3t2","thia_tco","t2t3","tc_th","ia_o","tco_thia"
"orthogonal","117","khw1","kh","w","t1","tco1","tc","o","t1","same","khw","tco","kh_tc","w_o","t1t1","khw_tco","t1t1","kh_tc","o_w","khw_tco"
"orthogonal","118","khw1","kh","w","t1","tco1","tc","o","t1","same","khw","tco","kh_tc","w_o","t1t1","khw_tco","t1t1","kh_tc","o_w","khw_tco"
"orthogonal","119","tco1","tc","o","t1","thia1","th","ia","t1","same","tco","thia","tc_th","o_ia","t1t1","tco_thia","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","120","wua5","w","ua","t5","tco5","tc","o","t5","same","wua","tco","w_tc","ua_o","t5t5","wua_tco","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","121","wua2","w","ua","t2","thia2","th","ia","t2","same","wua","thia","w_th","ua_ia","t2t2","wua_thia","t2t2","th_w","ia_ua","thia_wua"
"orthogonal","122","tco2","tc","o","t2","thia2","th","ia","t2","same","tco","thia","tc_th","o_ia","t2t2","tco_thia","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","123","tco1","tc","o","t1","khw5","kh","w","t5","diff","tco","khw","tc_kh","o_w","t1t5","tco_khw","t1t5","kh_tc","o_w","khw_tco"
"orthogonal","124","wua4","w","ua","t4","khw1","kh","w","t1","diff","wua","khw","w_kh","ua_w","t4t1","wua_khw","t1t4","kh_w","ua_w","khw_wua"
"orthogonal","125","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","126","thia5","th","ia","t5","khw3","kh","w","t3","diff","thia","khw","th_kh","ia_w","t5t3","thia_khw","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","127","tco2","tc","o","t2","thia2","th","ia","t2","same","tco","thia","tc_th","o_ia","t2t2","tco_thia","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","128","khw3","kh","w","t3","thia5","th","ia","t5","diff","khw","thia","kh_th","w_ia","t3t5","khw_thia","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","129","thia4","th","ia","t4","tco1","tc","o","t1","diff","thia","tco","th_tc","ia_o","t4t1","thia_tco","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","130","tco3","tc","o","t3","khw4","kh","w","t4","diff","tco","khw","tc_kh","o_w","t3t4","tco_khw","t3t4","kh_tc","o_w","khw_tco"
"orthogonal","131","tco2","tc","o","t2","wua5","w","ua","t5","diff","tco","wua","tc_w","o_ua","t2t5","tco_wua","t2t5","tc_w","o_ua","tco_wua"
"orthogonal","132","thia2","th","ia","t2","tco2","tc","o","t2","same","thia","tco","th_tc","ia_o","t2t2","thia_tco","t2t2","tc_th","ia_o","tco_thia"
"orthogonal","133","khw2","kh","w","t2","wua2","w","ua","t2","same","khw","wua","kh_w","w_ua","t2t2","khw_wua","t2t2","kh_w","ua_w","khw_wua"
"orthogonal","134","thia1","th","ia","t1","tco1","tc","o","t1","same","thia","tco","th_tc","ia_o","t1t1","thia_tco","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","135","thia5","th","ia","t5","wua5","w","ua","t5","same","thia","wua","th_w","ia_ua","t5t5","thia_wua","t5t5","th_w","ia_ua","thia_wua"
"orthogonal","136","thia5","th","ia","t5","khw3","kh","w","t3","diff","thia","khw","th_kh","ia_w","t5t3","thia_khw","t3t5","kh_th","ia_w","khw_thia"
"orthogonal","137","wua3","w","ua","t3","thia3","th","ia","t3","same","wua","thia","w_th","ua_ia","t3t3","wua_thia","t3t3","th_w","ia_ua","thia_wua"
"orthogonal","138","thia3","th","ia","t3","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t3t2","thia_khw","t2t3","kh_th","ia_w","khw_thia"
"orthogonal","139","khw3","kh","w","t3","tco1","tc","o","t1","diff","khw","tco","kh_tc","w_o","t3t1","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","140","tco1","tc","o","t1","thia1","th","ia","t1","same","tco","thia","tc_th","o_ia","t1t1","tco_thia","t1t1","tc_th","ia_o","tco_thia"
"orthogonal","141","wua1","w","ua","t1","khw2","kh","w","t2","diff","wua","khw","w_kh","ua_w","t1t2","wua_khw","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","142","khw1","kh","w","t1","tco3","tc","o","t3","diff","khw","tco","kh_tc","w_o","t1t3","khw_tco","t1t3","kh_tc","o_w","khw_tco"
"orthogonal","143","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","144","tco1","tc","o","t1","thia4","th","ia","t4","diff","tco","thia","tc_th","o_ia","t1t4","tco_thia","t1t4","tc_th","ia_o","tco_thia"
"orthogonal","145","khw1","kh","w","t1","wua2","w","ua","t2","diff","khw","wua","kh_w","w_ua","t1t2","khw_wua","t1t2","kh_w","ua_w","khw_wua"
"orthogonal","146","thia5","th","ia","t5","khw2","kh","w","t2","diff","thia","khw","th_kh","ia_w","t5t2","thia_khw","t2t5","kh_th","ia_w","khw_thia"
"orthogonal","147","thia5","th","ia","t5","tco4","tc","o","t4","diff","thia","tco","th_tc","ia_o","t5t4","thia_tco","t4t5","tc_th","ia_o","tco_thia"
"orthogonal","148","tco3","tc","o","t3","wua3","w","ua","t3","same","tco","wua","tc_w","o_ua","t3t3","tco_wua","t3t3","tc_w","o_ua","tco_wua"
"orthogonal","149","khw2","kh","w","t2","tco2","tc","o","t2","same","khw","tco","kh_tc","w_o","t2t2","khw_tco","t2t2","kh_tc","o_w","khw_tco"
"orthogonal","150","khw5","kh","w","t5","tco5","tc","o","t5","same","khw","tco","kh_tc","w_o","t5t5","khw_tco","t5t5","kh_tc","o_w","khw_tco"
"orthogonal","151","tco5","tc","o","t5","khw5","kh","w","t5","same","tco","khw","tc_kh","o_w","t5t5","tco_khw","t5t5","kh_tc","o_w","khw_tco"
"orthogonal","152","wua2","w","ua","t2","khw4","kh","w","t4","diff","wua","khw","w_kh","ua_w","t2t4","wua_khw","t2t4","kh_w","ua_w","khw_wua"
"orthogonal","153","wua1","w","ua","t1","khw1","kh","w","t1","same","wua","khw","w_kh","ua_w","t1t1","wua_khw","t1t1","kh_w","ua_w","khw_wua"
"orthogonal","154","tco3","tc","o","t3","thia3","th","ia","t3","same","tco","thia","tc_th","o_ia","t3t3","tco_thia","t3t3","tc_th","ia_o","tco_thia"
"orthogonal","155","tco5","tc","o","t5","wua5","w","ua","t5","same","tco","wua","tc_w","o_ua","t5t5","tco_wua","t5t5","tc_w","o_ua","tco_wua"
"orthogonal","156","thia2","th","ia","t2","wua3","w","ua","t3","diff","thia","wua","th_w","ia_ua","t2t3","thia_wua","t2t3","th_w","ia_ua","thia_wua"
"orthogonal","157","thia2","th","ia","t2","khw4","kh","w","t4","diff","thia","khw","th_kh","ia_w","t2t4","thia_khw","t2t4","kh_th","ia_w","khw_thia"
"orthogonal","158","khw3","kh","w","t3","tco3","tc","o","t3","same","khw","tco","kh_tc","w_o","t3t3","khw_tco","t3t3","kh_tc","o_w","khw_tco"
"orthogonal","159","wua1","w","ua","t1","thia1","th","ia","t1","same","wua","thia","w_th","ua_ia","t1t1","wua_thia","t1t1","th_w","ia_ua","thia_wua"
"orthogonal","161","khw4","kh","w","t4","wua3","w","ua","t3","diff","khw","wua","kh_w","w_ua","t4t3","khw_wua","t3t4","kh_w","ua_w","khw_wua"
"orthogonal","162","tco3","tc","o","t3","thia4","th","ia","t4","diff","tco","thia","tc_th","o_ia","t3t4","tco_thia","t3t4","tc_th","ia_o","tco_thia"
"orthogonal","163","wua4","w","ua","t4","tco4","tc","o","t4","same","wua","tco","w_tc","ua_o","t4t4","wua_tco","t4t4","tc_w","o_ua","tco_wua"
